"aTP ( 33 )"
Imie;Nazwisko;"Kod pocztowy miejsca zamieszkania";"Miejsce zamieszkania";Ulica;Nr.Domu;"Kod pocztowy miejsca zameldownia";"Nr.Domu zameldowania";"Miejsce zamledowania";"Ulica Zameldownia";"Ocena Niemiecki";"Ocena Angielski";Profil
"Grupa I ( 17 )"
Uczeń1;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń2;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń3;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń4;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń5;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń6;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń7;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń8;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń9;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń10;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń12;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń13;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń14;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń15;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń16;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń17;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń18;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
"Grupa II ( 16 )"
Uczeń11;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Programista"
Uczeń19;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń20;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń21;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń22;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Programista"
Uczeń23;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń24;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń25;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń26;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń27;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń28;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń29;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń30;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń31;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń32;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Programista"
Uczeń33;Programista;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Programista"
"aTI ( 33 )"
Imie;Nazwisko;"Kod pocztowy miejsca zamieszkania";"Miejsce zamieszkania";Ulica;Nr.Domu;"Kod pocztowy miejsca zameldownia";"Nr.Domu zameldowania";"Miejsce zamledowania";"Ulica Zameldownia";"Ocena Niemiecki";"Ocena Angielski";Profil
"Grupa I ( 17 )"
Uczeń1;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń2;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń3;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
